"Format","AiM CSV File"
"Session","Sodegaura"
"Vehicle","RS660"
"Racer","Mao"
"Championship",""
"Comment","Ripa"
"Date","Saturday, April 25, 2026"
"Time","2:58 PM"
"Sample Rate","20"
"Duration","977.993"
"Segment","Session"
"Beacon Markers","303.381","388.57","473.951","562.23","649.566","733.329","818.162","977.993"
"Segment Times","5:03.381","1:25.189","1:25.381","1:28.279","1:27.336","1:23.763","1:24.833","2:39.831"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","RPM dup 2","Throttle","Gear","Speed Rear","Lean Angle","Engine Brake"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg","rpm","%","gear","km/h","deg","#"

"3.350","0.1879","13","0.0000","0.0000","-52.7958","17.0971","0.0000","145.0096","10.1000","0.1243","10000.0000","35.39478050","140.08804407","1554.4554","0.0000","0.0000","0.0000","-0.0001","1.0000"
"3.400","0.1617","13","0.0000","0.0000","-55.8905","-44.1269","0.0000","144.9994","10.1000","0.1117","10000.0000","35.39478057","140.08804402","1547.2500","0.0000","0.0000","0.0000","-0.0001","1.0000"
"3.450","0.1324","13","0.0000","0.0000","-56.5143","-142.3842","0.0000","144.9967","10.0925","0.1107","10000.0000","35.39478056","140.08804401","1534.7500","0.0000","0.0000","0.0000","-0.0001","1.0000"
"3.500","0.1551","13","0.0000","0.0000","-63.9980","-64.7246","0.0000","144.9678","10.0000","0.1168","10000.0000","35.39478044","140.08804421","1540.3400","0.0000","0.0000","0.0000","-0.0001","1.0000"
"3.550","0.1521","13","0.0000","0.0000","-48.9952","144.1027","0.0000","144.9876","10.0000","0.1273","10000.0000","35.39478044","140.08804410","1561.3400","0.0000","0.0000","0.0000","-0.0001","1.0000"
"3.600","0.1617","13","0.0000","0.0000","-51.7240","-46.4036","0.0000","144.9755","10.0000","0.1152","10000.0000","35.39478043","140.08804401","1576.4000","0.0000","0.0000","0.0000","-0.0001","1.0000"
"3.650","0.1364","13","0.0000","0.0000","-67.3982","-135.6536","0.0000","144.9566","10.0000","0.1123","10000.0000","35.39478042","140.08804416","1586.4000","0.0000","0.0000","0.0000","-0.0001","1.0000"
"3.700","0.1410","13","0.0000","0.0000","-35.9471","121.2171","0.0000","144.9914","10.0000","0.1400","10000.0000","35.39478047","140.08804399","1576.1500","0.0000","0.0000","0.0000","-0.0001","1.0000"
"3.750","0.1234","13","0.0000","0.0000","-33.1533","113.7598","0.0000","144.9938","10.0000","0.1400","10000.0000","35.39478060","140.08804417","1548.6500","0.0000","0.0000","0.0000","-0.0001","1.0000"
"3.800","0.0236","13","0.0000","0.0000","-5.9819","18.9113","0.0000","144.9898","10.0000","0.1235","10000.0000","35.39478063","140.08804431","1559.4900","0.0000","0.0000","0.0000","-0.0001","1.0000"
"3.850","0.1470","13","0.0000","0.0000","-38.1031","-56.0305","0.0000","144.9212","16.5925","0.1208","10000.0000","35.39478106","140.08804524","1602.9900","0.0000","0.0000","0.0000","-0.0001","1.0000"
"3.900","0.1911","13","0.0000","0.0000","-31.8774","-73.7534","0.0000","144.8472","16.4675","0.1300","10000.0000","35.39478140","140.08804632","1614.6300","0.0000","0.0000","0.0000","-0.0001","1.0000"
"3.950","0.1934","13","0.0000","0.0000","-32.2391","-76.4328","0.0000","144.7874","16.3425","0.1300","10000.0000","35.39478170","140.08804712","1599.1300","0.0000","0.0000","0.0000","-0.0001","1.0000"
"4.000","0.0741","12","0.0000","0.0000","-53.5501","-110.4104","0.0000","144.7372","16.2175","0.1217","10000.0000","35.39478212","140.08804794","1586.0601","0.0000","0.0000","0.0000","-0.0001","1.0000"
"4.050","0.0726","12","0.0000","0.0000","-33.7738","178.7112","0.0000","144.6908","16.0925","0.1493","10000.0000","35.39478221","140.08804851","1575.0601","0.0000","0.0000","0.0000","-0.0001","1.0000"
"4.100","0.0913","12","0.0000","0.0000","-16.0031","164.3323","0.0000","144.6512","15.9675","0.1433","10000.0000","35.39478247","140.08804910","1559.4700","0.0000","0.0000","0.0000","-0.0001","1.0000"
"4.150","0.1258","12","0.0000","0.0000","-8.4353","170.1207","0.0000","144.6176","15.9000","0.1558","10000.0000","35.39478274","140.08804958","1539.9700","0.0000","0.0000","0.0000","-0.0001","1.0000"
"4.200","0.0830","12","0.0000","0.0000","-29.1035","178.6124","0.0000","144.5823","15.8175","0.1517","10000.0000","35.39478302","140.08805005","1524.0496","0.0000","0.0000","0.0000","-0.0001","1.0000"
"4.250","0.0772","12","0.0000","0.0000","-20.2185","-56.6602","0.0000","144.5479","15.7000","0.1315","10000.0000","35.39478324","140.08805040","1511.1782","0.0000","0.0000","0.0000","-0.0001","1.0000"
"4.300","0.0681","12","0.0000","0.0000","-24.9595","79.8928","0.0000","144.5234","15.6675","0.1468","10000.0000","35.39478339","140.08805080","1502.9200","0.0000","0.0000","0.0000","-0.0001","1.0000"
"4.350","0.1193","12","0.0000","0.0000","-10.1052","-113.8500","0.0000","144.4972","15.5425","0.1400","10000.0000","35.39478356","140.08805112","1498.9200","0.0000","0.0000","0.0000","-0.0001","1.0000"
"4.400","0.1260","12","0.0000","0.0000","-13.6275","-84.3600","0.0000","144.4718","15.5000","0.1318","10000.0000","35.39478372","140.08805131","1496.7400","0.0000","0.0000","0.0000","-0.0001","1.0000"
"4.450","0.1138","12","0.0000","0.0000","-18.1757","52.0490","0.0000","144.4631","15.4000","0.1585","10000.0000","35.39478389","140.08805152","1496.2400","0.0000","0.0000","0.0000","-0.0001","1.0000"
"4.500","0.0768","12","0.0000","0.0000","-11.7210","52.0852","0.0000","144.4450","15.3675","0.1367","10000.0000","35.39478404","140.08805179","1482.7400","0.0000","0.0000","0.0000","-0.0001","1.0000"
"4.550","0.0000","12","0.0000","0.0000","0.0000","0.0000","0.0000","144.4343","15.3000","0.1472","10000.0000","35.39478412","140.08805185","1457.2400","0.0000","0.0000","0.0000","-0.0001","1.0000"
"4.600","0.0420","12","0.0000","0.0000","-1.8781","-121.3780","0.0000","144.4172","15.3000","0.1517","10000.0000","35.39478419","140.08805181","1459.8199","0.0000","0.0000","0.0000","-0.0001","1.0000"
"4.650","0.0531","12","0.0000","0.0000","2.9320","89.3226","0.0000","144.4134","15.2000","0.1408","10000.0000","35.39478431","140.08805188","1488.3199","0.0000","0.0000","0.0000","-0.0001","1.0000"
"4.700","0.0830","12","0.0000","0.0000","-8.0577","31.0250","0.0000","144.3974","15.2000","0.1532","10000.0000","35.39478438","140.08805190","1502.5200","0.0000","0.0000","0.0000","-0.0001","1.0000"
"4.750","0.0996","12","0.0000","0.0000","-6.7040","-4.5738","0.0000","144.3846","15.1425","0.1542","10000.0000","35.39478455","140.08805196","1503.5200","0.0000","0.0000","0.0000","-0.0001","1.0000"
"4.800","0.1300","12","0.0000","0.0000","-2.5258","-8.3134","0.0000","144.3698","15.1000","0.1583","10000.0000","35.39478460","140.08805195","1496.2772","0.0000","0.0000","0.0000","-0.0001","1.0000"
